indicator1,indicator10,indicator11,indicator12,indicator13,indicator14,indicator15,indicator16,indicator17,indicator18,indicator19,indicator2,indicator21,indicator22,indicator23,indicator26,indicator27,indicator28,indicator29,indicator3,indicator4,indicator5,indicator6,indicator7,indicator8,indicator9,ID,label_1
1.245609766,1.272461873,1.594056554,1.001171338,1.880463248,2.300044317,0.840877872,0.959526052,1.041901724,0.883663232,1.110810977,1.103701014,0.981177586,1.003850994,0.996100254,1.003850994,1.007281931,0.996593866,0.994127221,1.110810977,0.565248086,0.627543296,0.334222319,1.866732238,0.793645481,1.926966735,BRA351,2
1.245609766,1.272461873,1.594056554,1.001171338,1.880463248,2.300044317,0.840877872,0.959526052,1.041901724,0.883663232,1.110810977,1.103701014,0.981177586,1.003850994,0.996100254,1.003850994,1.007281931,0.996593866,0.994127221,1.110810977,0.565248086,0.627543296,0.334222319,1.866732238,0.793645481,1.926966735,BRA351,2
1.245609766,1.256556099,1.620746279,1.001612589,1.876315885,2.315913046,0.840877872,0.9797266,1.092726198,0.878412372,1.126679706,1.103701014,0.986676735,1.002342887,0.995794482,1.002342887,0.99845531,0.995804963,0.988874348,1.126679706,0.573323058,0.60792892,0.338996924,1.880639798,0.780928634,1.910572922,BRA351,2
1.245609766,1.256556099,1.620746279,1.001612589,1.876315885,2.315913046,0.840877872,0.9797266,1.092726198,0.878412372,1.126679706,1.103701014,0.986676735,1.002342887,0.995794482,1.002342887,0.99845531,0.995804963,0.988874348,1.126679706,0.573323058,0.60792892,0.338996924,1.880639798,0.780928634,1.910572922,BRA351,2
1.245609766,1.38819531,1.531513103,1.003525567,1.911310421,2.446201496,0.788003198,1.123307223,1.425510995,0.885169684,1.177171114,1.005486606,0.996035697,0.999147141,1.000452918,0.999147141,0.998832676,1.000314832,0.998066268,1.177171114,0.387598687,0.849494172,0.238573684,2.211966936,0.797380829,2.040792427,CAN47,2
1.245609766,1.38819531,1.531513103,1.003525567,1.911310421,2.446201496,0.788003198,1.123307223,1.425510995,0.885169684,1.177171114,1.005486606,0.996035697,0.999147141,1.000452918,0.999147141,0.998832676,1.000314832,0.998066268,1.177171114,0.387598687,0.849494172,0.238573684,2.211966936,0.797380829,2.040792427,CAN47,2
1.245609766,1.364260908,1.565874644,1.003800397,1.908556013,2.399797264,0.801827816,1.106728197,1.380256677,0.887405453,1.152646715,1.004659394,0.994796188,0.999903196,1.00142522,0.999903196,0.999874082,1.000029117,0.998421998,1.152646715,0.379523715,0.867568516,0.232649915,2.146546129,0.797230215,2.000941022,CAN47,2
1.245609766,1.364260908,1.565874644,1.003800397,1.908556013,2.399797264,0.801827816,1.106728197,1.380256677,0.887405453,1.152646715,1.004659394,0.994796188,0.999903196,1.00142522,0.999903196,0.999874082,1.000029117,0.998421998,1.152646715,0.379523715,0.867568516,0.232649915,2.146546129,0.797230215,2.000941022,CAN47,2
1.211483471,1.127678551,1.68676628,0.999942222,1.89117182,2.394136762,0.931645768,0.959526052,1.029925842,0.893938386,1.401555263,1.374618442,1.001602236,1.00381594,0.995379291,1.00381594,1.00290611,0.997500686,1.006648533,1.401555263,0.91247191,0.698604997,0.801407603,1.873587417,0.769379506,1.739870968,NCL119,2
1.245609766,1.349788944,1.814287961,0.999942222,1.89117182,2.474924599,0.931645768,0.959526052,1.029925842,0.893938386,1.401555263,1.364759842,1.004700209,1.00381594,0.995379291,1.00381594,1.00290611,1.000907195,1.006648533,1.401555263,0.91247191,0.713493093,0.78759023,1.998467085,0.89453479,2.053098373,NCL119,2
1.245609766,1.349788944,1.814287961,0.999942222,1.89117182,2.474924599,0.931645768,0.959526052,1.029925842,0.893938386,1.401555263,1.413929609,1.004700209,1.00381594,0.995379291,1.00381594,1.00290611,1.000907195,1.006648533,1.401555263,0.91247191,0.713493093,0.856504375,1.998467085,0.89453479,2.053098373,NCL119,2
1.245609766,1.349788944,1.814287961,0.999942222,1.89117182,2.474924599,0.931645768,0.959526052,1.029925842,0.893938386,1.401555263,1.381385292,1.004700209,1.00381594,0.995379291,1.00381594,1.00290611,1.000907195,1.006648533,1.401555263,0.91247191,0.713493093,0.810891716,1.998467085,0.89453479,2.053098373,NCL119,2
1.245609766,1.310693437,1.823662999,0.999362957,1.91511792,2.364703189,0.948407011,0.966710909,1.019299623,0.916835404,1.310303561,1.400325677,1.005426832,1.001222169,0.995236469,1.001222169,1.002209947,0.9990144,1.00800034,1.310303561,0.823647211,0.76318193,0.782914272,1.911321283,0.862329034,1.954953077,AUS3346,1
1.245609766,1.310693437,1.823662999,0.999362957,1.91511792,2.364703189,0.948407011,0.966710909,1.019299623,0.916835404,1.310303561,1.404131448,1.005426832,1.001222169,0.995236469,1.001222169,1.002209947,0.9990144,1.00800034,1.310303561,0.823647211,0.76318193,0.787900987,1.911321283,0.862329034,1.954953077,AUS3346,1
1.245609766,1.310693437,1.823662999,0.999362957,1.91511792,2.364703189,0.948407011,0.966710909,1.019299623,0.916835404,1.310303561,1.41189031,1.005426832,1.001222169,0.995236469,1.001222169,1.002209947,0.9990144,1.00800034,1.310303561,0.823647211,0.76318193,0.798067451,1.911321283,0.862329034,1.954953077,AUS3346,1
1.245609766,1.310693437,1.823662999,0.999362957,1.91511792,2.364703189,0.948407011,0.966710909,1.019299623,0.916835404,1.310303561,1.41189031,1.005426832,1.001222169,0.995236469,1.001222169,1.002209947,0.9990144,1.00800034,1.310303561,0.823647211,0.76318193,0.798067451,1.911321283,0.862329034,1.954953077,AUS3346,1
1.245609766,1.328067422,1.836333431,1.000239783,1.924849104,2.262082207,0.970243698,0.954605406,0.983882098,0.926199879,1.231413312,1.461646082,1.006275042,1.001560206,0.993525858,1.001560206,1.001578824,0.999981411,1.008124182,1.231413312,0.783272348,0.812075028,0.811287635,1.956870098,0.889485258,2.01715718,ZAF1521,1
0.854132411,1.142323727,1.813468034,0.999575362,1.847623238,1.801831371,0.937116452,0.910506786,0.950340663,0.853250889,0.882878335,1.481965278,1.00644072,0.999204917,0.99236053,0.999204917,0.999683573,0.99852755,1.007373841,0.882878335,0.779396361,0.809661431,0.8229372,1.979012979,0.921293005,2.105334082,ZAF1521,1
1.245609766,1.310693437,1.889578529,1.000239783,1.903976566,2.259520626,0.970988131,0.932988435,0.960864923,0.905920697,1.229641919,1.464831383,1.006275042,1.001560206,0.993525858,1.001560206,1.001578824,0.999981411,1.008124182,1.229641919,0.79134732,0.813244884,0.814037375,1.914493491,0.900787036,2.002325109,ZAF1521,1
1.221089889,1.365488313,1.911358832,0.999575362,1.840030066,2.311952432,0.933691226,0.90633884,0.970705106,0.846240623,1.240934549,1.456603156,1.00644072,0.999204917,0.994022597,0.999204917,1.000678367,0.99852755,1.008180289,1.240934549,0.757815104,0.805844273,0.791297584,1.92120996,0.915761384,2.04910318,ZAF1521,1
1.211281938,1.270591706,1.707656059,0.999504885,1.780673599,2.278241976,0.833911195,0.946762403,1.020177572,0.789515767,1.079073521,1.229218805,0.997153196,0.999393002,0.994955082,0.999393002,1.000699331,0.998488768,1.004468768,1.079073521,0.463926405,0.758226203,0.467072465,2.014876588,0.838742953,1.97113295,RUS2724,1
1.221089889,1.270591706,1.707656059,0.999504885,1.780673599,2.278241976,0.833911195,0.946762403,1.020177572,0.789515767,1.079073521,1.216981497,0.997153196,0.999393002,0.994955082,0.999393002,1.000699331,0.998488768,1.004468768,1.079073521,0.460273441,0.758226203,0.473470718,2.014876588,0.838742953,1.97113295,RUS2724,1
1.202657705,1.102596042,1.821751676,1.001725463,2.098166459,2.108192591,1.051398946,1.046767513,0.99559498,1.10057026,1.157078836,1.928927918,1.00832899,1.000334157,0.990031546,1.000334157,1.000789897,0.99954462,1.011327213,1.157078836,1.30387737,0.864245347,1.269820125,1.976838269,0.893745618,1.925272595,PER13,2
1.20428622,1.08609891,1.797417711,1.001066773,2.104003533,2.075805266,1.057967257,1.044497415,0.985834245,1.106651401,1.131969282,1.781846635,1.004858463,1.001686599,0.990936901,1.001686599,1.004162281,0.997284027,1.013503436,1.131969282,1.081091659,0.878787074,1.081368356,1.936869934,0.86733076,1.86857342,PER13,2
