fid,ISO3_CODE,COUNTRY_NA,AREA,Classified_Commodity
23689,BRA,Brazil,0.357326821,Bauxite
23690,BRA,Brazil,1.404691808,Lithium
23691,BRA,Brazil,1.67183752,Gold
23692,BRA,Brazil,0.242824043,Nickel and Cobalt
23694,BRA,Brazil,1.46990428,Other non-metals
23695,BRA,Brazil,1.074238887,Nickel and Cobalt
23696,BRA,Brazil,1.264938525,Gold
23697,BRA,Brazil,1.852287742,Gold
23698,BRA,Brazil,0.435100256,Coal
23699,BRA,Brazil,1.439519732,Uranium
23700,BRA,Brazil,0.991687142,Nickel and Cobalt
23701,BRA,Brazil,3.307618924,Coal
23702,BRA,Brazil,2.097325776,Coal
23703,BRA,Brazil,1.845128079,Nickel and Cobalt
23704,BRA,Brazil,0.266099777,Bauxite
23705,BRA,Brazil,0.760383464,Bauxite
23707,BRA,Brazil,0.451060164,Bauxite
23708,BRA,Brazil,0.517692544,Nickel and Cobalt
23709,BRA,Brazil,0.528470521,Bauxite
23710,BRA,Brazil,4.920338868,Coal
23711,BRA,Brazil,1.922994042,Gold
23713,BRA,Brazil,1.700510522,Other non-metals
23714,BRA,Brazil,0.298922927,Coal
23715,BRA,Brazil,0.704048443,Other metals
23716,BRA,Brazil,0.192878643,Gold
23717,BRA,Brazil,1.789830294,Coal
23718,BRA,Brazil,0.341134643,Coal
23719,BRA,Brazil,1.49952955,Coal
23720,BRA,Brazil,0.73511763,Manganese
23721,BRA,Brazil,0.598339348,Copper
23722,BRA,Brazil,0.397760429,Coal
23723,BRA,Brazil,9.129344324,Coal
23724,BRA,Brazil,7.353904955,Coal
23725,BRA,Brazil,1.62681212,Other non-metals
23726,BRA,Brazil,2.102890925,Coal
23727,BRA,Brazil,0.619981123,Gold
23728,BRA,Brazil,4.607473743,Coal
23729,BRA,Brazil,0.870728726,Coal
23730,BRA,Brazil,0.349769856,Nickel and Cobalt
23731,BRA,Brazil,4.0323057,Coal
23732,BRA,Brazil,3.91041198,Coal
23733,BRA,Brazil,60.12621867,Bauxite
23734,BRA,Brazil,0.063966543,Bauxite
23736,BRA,Brazil,0.034374997,Coal
23737,BRA,Brazil,2.252018129,Coal
23738,BRA,Brazil,0.548301599,Coal
23739,BRA,Brazil,0.554437019,Iron
23740,BRA,Brazil,0.540204007,Iron
23741,BRA,Brazil,0.566287506,Iron
23742,BRA,Brazil,0.315391403,Iron
23743,BRA,Brazil,0.028156097,Iron
23746,BRA,Brazil,0.338465746,Coal
23747,BRA,Brazil,0.224611819,Uranium
23748,BRA,Brazil,0.047867859,Iron
23749,BRA,Brazil,0.090606189,Coal
23750,BRA,Brazil,0.029282155,Bauxite
23751,BRA,Brazil,0.439344418,Coal
23752,BRA,Brazil,0.076912958,Coal
23753,BRA,Brazil,0.231446816,Iron
23754,BRA,Brazil,4.269226482,Iron
23755,BRA,Brazil,2.682613651,Iron
23756,BRA,Brazil,0.55179304,Tin
23757,BRA,Brazil,0.608219577,Coal
23758,BRA,Brazil,0.351397086,Coal
23759,BRA,Brazil,1.168036879,Iron
23760,BRA,Brazil,0.22487681,Iron
23761,BRA,Brazil,0.389783512,Coal
23762,BRA,Brazil,0.110347698,Coal
23763,BRA,Brazil,0.132934994,Coal
23764,BRA,Brazil,0.109618418,Coal
23765,BRA,Brazil,0.132673951,Coal
23766,BRA,Brazil,0.153834516,Iron
23767,BRA,Brazil,0.195290815,Iron
23768,BRA,Brazil,0.40251138,Silver
23769,BRA,Brazil,0.507101506,Gold
23770,BRA,Brazil,1.59729192,Other metals
23771,BRA,Brazil,0.15572195,Coal
23772,BRA,Brazil,0.314219984,Copper
23773,BRA,Brazil,0.229381465,Other metals
23774,BRA,Brazil,0.096725947,Copper
23775,BRA,Brazil,0.305135345,Nickel and Cobalt
23776,BRA,Brazil,1.13852818,Coal
23777,BRA,Brazil,0.223166697,Gold
23778,BRA,Brazil,0.290340564,Other non-metals
23779,BRA,Brazil,0.198695369,Bauxite
23780,BRA,Brazil,0.053390708,Coal
23781,BRA,Brazil,0.016518025,Bauxite
23783,BRA,Brazil,0.231478079,Iron
23784,BRA,Brazil,0.662384625,Coal
23786,CAN,Canada,0.12821149,Copper
23787,CAN,Canada,0.677374982,Uranium
23788,BRA,Brazil,3.229812354,Coal
23790,BRA,Brazil,0.152500319,Coal
23791,BRA,Brazil,0.296344326,Coal
23792,BRA,Brazil,0.052500504,Gold
23793,BRA,Brazil,0.102168713,Gold
23794,BRA,Brazil,0.810102397,Coal
23795,BRA,Brazil,4.453033961,Coal
23796,BRA,Brazil,1.172209823,Coal
23797,BRA,Brazil,1.487643511,Coal
23798,BRA,Brazil,0.404818694,Coal
23799,BRA,Brazil,3.000398493,Molybdenum
23800,BRA,Brazil,0.55882837,Gold
23802,BRA,Brazil,0.348366439,Coal
23804,BRA,Brazil,0.072964145,Coal
23807,BRA,Brazil,0.537568547,Coal
23808,BRA,Brazil,0.161690164,Nickel and Cobalt
23809,BRA,Brazil,0.06372087,Coal
23810,BRA,Brazil,0.081507304,Gold
23811,BRA,Brazil,1.335888568,Coal
23813,BRA,Brazil,0.228840771,Gold
23814,BRA,Brazil,0.12185527,Other non-metals
23815,BRA,Brazil,0.392142877,Coal
23817,BRA,Brazil,0.24490798,Coal
23820,BRA,Brazil,0.291905046,Other metals
23821,BRA,Brazil,1.402960523,Nickel and Cobalt
23822,BRA,Brazil,0.123299795,Coal
23823,BRA,Brazil,0.022507066,Gold
23824,BRA,Brazil,0.012427279,Coal
23825,BRA,Brazil,0.182436054,Coal
23826,BRA,Brazil,4.626821593,Coal
23827,BRA,Brazil,0.369968713,Nickel and Cobalt
23828,BRA,Brazil,0.560292651,Bauxite
23829,BRA,Brazil,1.115848885,Bauxite
23830,BRA,Brazil,0.390131432,Bauxite
23832,BRA,Brazil,0.066385003,Iron
23833,BRA,Brazil,1.333780168,Bauxite
23834,BRA,Brazil,1.842099529,Coal
23835,BRA,Brazil,0.454618422,Bauxite
23836,BRA,Brazil,0.332435451,Gold
23837,CAN,Canada,0.031187891,Coal
23838,CAN,Canada,0.003846858,Coal
23840,CAN,Canada,0.041673764,Iron
23841,CAN,Canada,0.04977597,Coal
23842,CAN,Canada,0.373966444,Nickel and Cobalt
23843,CAN,Canada,0.013944889,Other non-metals
23844,CAN,Canada,0.412708524,Gold
23845,CAN,Canada,0.064034135,Gold
23846,CAN,Canada,0.290602578,Other non-metals
23847,CAN,Canada,0.214268532,Other non-metals
23848,CAN,Canada,0.09114013,Bauxite
23849,CAN,Canada,0.161275666,Other non-metals
23851,BRA,Brazil,1.036761953,Ilmenite
23853,BRA,Brazil,0.021880999,Coal
23854,BRA,Brazil,0.045502336,Lithium
23855,BRA,Brazil,0.140892934,Iron
23856,BRA,Brazil,0.018778543,Iron
23857,BRA,Brazil,0.86761648,Gold
23858,BRA,Brazil,0.379841376,Iron
23859,BRA,Brazil,0.039938514,Coal
23860,BRA,Brazil,0.016331182,Nickel and Cobalt
23862,CAN,Canada,0.052011993,Coal
23863,BRA,Brazil,1.798820658,Ilmenite
23864,BRA,Brazil,0.102867829,Iron
23865,BRA,Brazil,0.189795385,Coal
23866,BRA,Brazil,0.915886837,Coal
23868,BRA,Brazil,0.199113177,Iron
23871,BRA,Brazil,0.921157197,Iron
23872,BRA,Brazil,0.01820694,Other non-metals
23874,BRA,Brazil,1.800191944,Iron
23876,BRA,Brazil,2.591984622,Iron
23877,BRA,Brazil,0.133654654,Other non-metals
23878,BRA,Brazil,0.270146256,Coal
23879,BFA,Burkina Faso,0.333514457,Coal
23881,BRA,Brazil,0.648197332,Iron
23882,BRA,Brazil,0.247728201,Coal
23884,BRA,Brazil,0.317440294,Nickel and Cobalt
23885,BRA,Brazil,1.036364249,Coal
23886,BRA,Brazil,0.390823135,Coal
23889,BRA,Brazil,0.314404261,Iron
23890,BRA,Brazil,0.292186294,Other metals
23891,BRA,Brazil,4.819545663,PGE
23892,BRA,Brazil,0.543201278,Gold
23893,BRA,Brazil,0.067081066,Other non-metals
23894,BRA,Brazil,0.147695157,Nickel and Cobalt
23896,BRA,Brazil,0.071613405,Lithium
23897,BRA,Brazil,0.082123105,Gold
23901,BRA,Brazil,0.080529238,Coal
23903,BRA,Brazil,0.284170108,Gold
23906,BRA,Brazil,0.030625101,Coal
23912,BRA,Brazil,0.099513143,Bauxite
23914,BRA,Brazil,0.182089095,Coal
23918,BRA,Brazil,0.123964425,Bauxite
23921,BRA,Brazil,0.224046785,Iron
23925,BRA,Brazil,0.137751971,Bauxite
23927,BRA,Brazil,0.034615469,Coal
23929,BRA,Brazil,0.316413572,Coal
23930,BRA,Brazil,0.114107879,Bauxite
23932,BRA,Brazil,0.398424602,Other metals
23933,BRA,Brazil,0.035449584,Ilmenite
23934,BRA,Brazil,0.085166113,PGE
23935,BRA,Brazil,0.034547682,Lithium
23936,BRA,Brazil,0.719726808,Coal
23937,BRA,Brazil,0.606291904,Gold
23940,BRA,Brazil,0.230908211,Coal
23942,BRA,Brazil,0.209221178,Gold
23943,BRA,Brazil,0.019243941,Molybdenum
23944,BRA,Brazil,0.015167986,Coal
23945,BFA,Burkina Faso,0.208687236,Nickel and Cobalt
23946,BRA,Brazil,0.380018655,Coal
23947,BRA,Brazil,0.50200066,Coal
23949,BRA,Brazil,0.701797644,PGE
23950,BRA,Brazil,0.34781804,PGE
23951,BRA,Brazil,0.138188121,Coal
23952,BRA,Brazil,0.369180475,Coal
23953,BRA,Brazil,0.195875425,Iron
23954,BRA,Brazil,0.191381449,Iron
23955,BRA,Brazil,0.010118203,Nickel and Cobalt
23956,BRA,Brazil,0.201524049,Iron
23958,BRA,Brazil,0.025123351,Coal
23959,BRA,Brazil,0.048450308,Iron
23960,BRA,Brazil,0.266043365,Gold
23961,BRA,Brazil,0.100957232,Nickel and Cobalt
23962,BRA,Brazil,0.120444955,Coal
23963,BRA,Brazil,0.10444312,Bauxite
23964,BRA,Brazil,0.072999589,Iron
23965,CAN,Canada,0.204192107,Nickel and Cobalt
23967,BRA,Brazil,0.045143551,Coal
23968,BRA,Brazil,0.091323267,Coal
23969,BRA,Brazil,0.046689491,Coal
23970,BRA,Brazil,0.012096382,Coal
23972,BRA,Brazil,0.142355403,Gold
23973,BRA,Brazil,1.719166491,Coal
23974,BRA,Brazil,0.282059247,Coal
23976,BRA,Brazil,0.049867386,Iron
23977,BRA,Brazil,0.010945179,Gold
23978,BRA,Brazil,0.021721909,Bauxite
23979,BRA,Brazil,0.093166575,Molybdenum
23980,BRA,Brazil,0.033644313,Coal
23981,BRA,Brazil,0.020322944,Silver
23982,BRA,Brazil,0.392651755,Uranium
23983,BRA,Brazil,2.297206941,Iron
23984,BRA,Brazil,0.050881698,Coal
23986,BRA,Brazil,0.008549174,Iron
23987,BRA,Brazil,0.003039293,Coal
23990,BRA,Brazil,0.029746748,Gold
23991,BRA,Brazil,0.024609864,Coal
23992,BRA,Brazil,0.056207916,Other non-metals
23993,BRA,Brazil,0.126206321,Nickel and Cobalt
23994,BRA,Brazil,0.007962569,Other non-metals
23996,BRA,Brazil,2.445617097,Coal
23997,BRA,Brazil,1.851615417,Gold
23998,BRA,Brazil,0.466162556,Coal
23999,BRA,Brazil,0.09153161,Coal
24000,BRA,Brazil,0.357029237,Other non-metals
24001,BRA,Brazil,0.37201115,Other metals
24002,BRA,Brazil,0.152838598,Iron
24003,BRA,Brazil,0.06177426,Iron
24004,BRA,Brazil,0.036097226,Iron
24005,BRA,Brazil,0.017866249,Iron
24006,BRA,Brazil,0.938996633,Coal
24007,BRA,Brazil,0.024816293,Coal
24008,BRA,Brazil,2.319308347,Coal
24009,BRA,Brazil,0.463782834,Gold
24010,BRA,Brazil,0.076695401,Gold
24011,BRA,Brazil,0.046579686,Gold
24012,BRA,Brazil,0.315506976,Coal
24013,BRA,Brazil,0.365915593,Bauxite
24014,CAN,Canada,0.09813057,Coal
24015,CAN,Canada,0.042826581,Other non-metals
24016,CAN,Canada,0.200282337,Coal
24017,CAN,Canada,0.160524228,Other non-metals
24018,CAN,Canada,0.07895627,Gold
24019,CAN,Canada,0.008793176,Gold
24023,CAN,Canada,0.412540564,Other non-metals
24024,CAN,Canada,0.051882171,Gold
24025,CAN,Canada,0.084222707,Lead
24026,CAN,Canada,0.082543202,Nickel and Cobalt
24027,CAN,Canada,0.026629279,Gold
24028,CAN,Canada,0.004829073,Gold
24029,CAN,Canada,0.060814274,Lithium
24030,BFA,Burkina Faso,0.515282829,Nickel and Cobalt
24031,CAN,Canada,0.393553145,Coal
24032,CAN,Canada,0.390038932,Coal
24033,CAN,Canada,1.350249159,Coal
24034,CAN,Canada,5.069381191,Other non-metals
